scent,chem1,chem2,chem3
sheep,90,81,57
table,81,7,36
grass,42,18,65
dog,52,26,53
shock,90,84,9
lemon,1,34,17
sweat,46,36,26
banana,99,50,95
chair,55,87,36
grass,42,18,65
orange,52,82,53
socks,4,43,93
apple,21,5,96
sweat,46,36,26
banana,99,50,95
dog,52,26,53
sweat,46,36,26
sugar,11,11,6
cow,25,53,54
dog,52,26,53
banana,99,50,95
table,81,7,36
cow,25,53,54
chair,55,87,36
cat,34,69,90
cow,25,53,54
grass,42,18,65
sweat,46,36,26
cow,25,53,54
banana,99,50,95
apple,21,5,96
cow,25,53,54
cat,34,69,90
frog,28,94,74
chair,55,87,36
malefly,54,97,53
chair,55,87,36
chair,55,87,36
doodoo,26,36,38
doodoo,26,36,38
doodoo,26,36,38
grass,42,18,65
cow,25,53,54
sugar,11,11,6
cow,25,53,54
lemon,1,34,17
shock,90,84,9
orange,52,82,53
flower,51,53,78
shock,90,84,9
ladyfly,24,37,68
shock,90,84,9
cat,34,69,90
cow,25,53,54
dog,52,26,53
dog,52,26,53
grass,42,18,65
chair,55,87,36
ladyfly,24,37,68
malefly,54,97,53
sweat,46,36,26
apple,21,5,96
cat,34,69,90
cow,25,53,54
ladyfly,24,37,68
frog,28,94,74
lemon,1,34,17
table,81,7,36
cat,34,69,90
ladyfly,24,37,68
grass,42,18,65
ladyfly,24,37,68
grass,42,18,65
socks,4,43,93
dog,52,26,53
malefly,54,97,53
cat,34,69,90
chair,55,87,36
banana,99,50,95
chair,55,87,36
orange,52,82,53
apple,21,5,96
shock,90,84,9
lemon,1,34,17
sheep,90,81,57
grass,42,18,65
socks,4,43,93
malefly,54,97,53
grass,42,18,65
ladyfly,24,37,68
dog,52,26,53
chair,55,87,36
flower,51,53,78
frog,28,94,74
lemon,1,34,17
orange,52,82,53
grass,42,18,65
doodoo,26,36,38
lemon,1,34,17
cat,34,69,90
lemon,1,34,17
cat,34,69,90
socks,4,43,93
socks,4,43,93
chair,55,87,36
grass,42,18,65
cow,25,53,54
chair,55,87,36
frog,28,94,74
sheep,90,81,57
cow,25,53,54
sheep,90,81,57
cow,25,53,54
cow,25,53,54
sweat,46,36,26
doodoo,26,36,38
dog,52,26,53
malefly,54,97,53
ladyfly,24,37,68
shock,90,84,9
sheep,90,81,57
sweat,46,36,26
sweat,46,36,26
lemon,1,34,17
doodoo,26,36,38
malefly,54,97,53
banana,99,50,95
dog,52,26,53
table,81,7,36
frog,28,94,74
ladyfly,24,37,68
table,81,7,36
frog,28,94,74
doodoo,26,36,38
socks,4,43,93
doodoo,26,36,38
shock,90,84,9
malefly,54,97,53
banana,99,50,95
frog,28,94,74
ladyfly,24,37,68
dog,52,26,53
malefly,54,97,53
socks,4,43,93
orange,52,82,53
cow,25,53,54
grass,42,18,65
doodoo,26,36,38
table,81,7,36
sheep,90,81,57
apple,21,5,96
lemon,1,34,17
table,81,7,36
flower,51,53,78
chair,55,87,36
sweat,46,36,26
shock,90,84,9
frog,28,94,74
sugar,11,11,6
grass,42,18,65
sweat,46,36,26
orange,52,82,53
sugar,11,11,6
orange,52,82,53
cat,34,69,90
flower,51,53,78
cat,34,69,90
cow,25,53,54
ladyfly,24,37,68
sheep,90,81,57
shock,90,84,9
ladyfly,24,37,68
cow,25,53,54
lemon,1,34,17
ladyfly,24,37,68
banana,99,50,95
sheep,90,81,57
dog,52,26,53
cat,34,69,90
malefly,54,97,53
cow,25,53,54
grass,42,18,65
table,81,7,36
sweat,46,36,26
sweat,46,36,26
apple,21,5,96
doodoo,26,36,38
dog,52,26,53
sweat,46,36,26
grass,42,18,65
orange,52,82,53
flower,51,53,78
ladyfly,24,37,68
malefly,54,97,53
shock,90,84,9
sheep,90,81,57
cow,25,53,54
table,81,7,36
sheep,90,81,57
sugar,11,11,6
apple,21,5,96
frog,28,94,74
sugar,11,11,6
ladyfly,24,37,68
sheep,90,81,57
grass,42,18,65
shock,90,84,9
cat,34,69,90
socks,4,43,93
flower,51,53,78
frog,28,94,74
flower,51,53,78
chair,55,87,36
lemon,1,34,17
chair,55,87,36
shock,90,84,9
doodoo,26,36,38
frog,28,94,74
sugar,11,11,6
sheep,90,81,57
chair,55,87,36
doodoo,26,36,38
socks,4,43,93
shock,90,84,9
malefly,54,97,53
chair,55,87,36
flower,51,53,78
shock,90,84,9
banana,99,50,95
socks,4,43,93
chair,55,87,36
ladyfly,24,37,68
frog,28,94,74
doodoo,26,36,38
orange,52,82,53
socks,4,43,93
table,81,7,36
frog,28,94,74
cat,34,69,90
shock,90,84,9
chair,55,87,36
flower,51,53,78
frog,28,94,74
cow,25,53,54
socks,4,43,93
socks,4,43,93
cat,34,69,90
doodoo,26,36,38
doodoo,26,36,38
lemon,1,34,17
dog,52,26,53
socks,4,43,93
cat,34,69,90
banana,99,50,95
grass,42,18,65
apple,21,5,96
malefly,54,97,53
sugar,11,11,6
grass,42,18,65
sheep,90,81,57
shock,90,84,9
sugar,11,11,6
table,81,7,36
lemon,1,34,17
ladyfly,24,37,68
shock,90,84,9
table,81,7,36
apple,21,5,96
cat,34,69,90
chair,55,87,36
cow,25,53,54
doodoo,26,36,38
shock,90,84,9
chair,55,87,36
shock,90,84,9
dog,52,26,53
frog,28,94,74
banana,99,50,95
ladyfly,24,37,68
shock,90,84,9
banana,99,50,95
apple,21,5,96
sheep,90,81,57
doodoo,26,36,38
cow,25,53,54
socks,4,43,93
socks,4,43,93
frog,28,94,74
shock,90,84,9
banana,99,50,95
dog,52,26,53
lemon,1,34,17
table,81,7,36
sheep,90,81,57
frog,28,94,74
sugar,11,11,6
grass,42,18,65
cat,34,69,90
shock,90,84,9
lemon,1,34,17
orange,52,82,53
socks,4,43,93
doodoo,26,36,38
apple,21,5,96
sheep,90,81,57
cow,25,53,54
cat,34,69,90
sweat,46,36,26
orange,52,82,53
banana,99,50,95
grass,42,18,65
dog,52,26,53
grass,42,18,65
socks,4,43,93
malefly,54,97,53
banana,99,50,95
malefly,54,97,53
sheep,90,81,57
lemon,1,34,17
frog,28,94,74
sheep,90,81,57
grass,42,18,65
cat,34,69,90
apple,21,5,96
banana,99,50,95
dog,52,26,53
socks,4,43,93
doodoo,26,36,38
table,81,7,36
lemon,1,34,17
frog,28,94,74
grass,42,18,65
grass,42,18,65
orange,52,82,53
ladyfly,24,37,68
dog,52,26,53
grass,42,18,65
sheep,90,81,57
apple,21,5,96
doodoo,26,36,38
sugar,11,11,6
cow,25,53,54
ladyfly,24,37,68
lemon,1,34,17
banana,99,50,95
frog,28,94,74
doodoo,26,36,38
table,81,7,36
ladyfly,24,37,68
cat,34,69,90
grass,42,18,65
doodoo,26,36,38
sweat,46,36,26
shock,90,84,9
lemon,1,34,17
sugar,11,11,6
socks,4,43,93
table,81,7,36
shock,90,84,9
frog,28,94,74
malefly,54,97,53
malefly,54,97,53
table,81,7,36
apple,21,5,96
banana,99,50,95
dog,52,26,53
sheep,90,81,57
lemon,1,34,17
sweat,46,36,26
dog,52,26,53
ladyfly,24,37,68
ladyfly,24,37,68
grass,42,18,65
lemon,1,34,17
doodoo,26,36,38
sweat,46,36,26
chair,55,87,36
grass,42,18,65
sweat,46,36,26
malefly,54,97,53
lemon,1,34,17
grass,42,18,65
apple,21,5,96
shock,90,84,9
socks,4,43,93
banana,99,50,95
chair,55,87,36
dog,52,26,53
grass,42,18,65
flower,51,53,78
socks,4,43,93
shock,90,84,9
flower,51,53,78
shock,90,84,9
apple,21,5,96
dog,52,26,53
socks,4,43,93
dog,52,26,53
dog,52,26,53
sheep,90,81,57
sweat,46,36,26
flower,51,53,78
doodoo,26,36,38
cat,34,69,90
table,81,7,36
frog,28,94,74
flower,51,53,78
lemon,1,34,17
grass,42,18,65
apple,21,5,96
flower,51,53,78
apple,21,5,96
orange,52,82,53
flower,51,53,78
flower,51,53,78
dog,52,26,53
dog,52,26,53
flower,51,53,78
grass,42,18,65
dog,52,26,53
malefly,54,97,53
banana,99,50,95
malefly,54,97,53
apple,21,5,96
doodoo,26,36,38
sweat,46,36,26
malefly,54,97,53
grass,42,18,65
flower,51,53,78
malefly,54,97,53
table,81,7,36
banana,99,50,95
flower,51,53,78
shock,90,84,9
malefly,54,97,53
doodoo,26,36,38
sweat,46,36,26
sweat,46,36,26
doodoo,26,36,38
shock,90,84,9
table,81,7,36
frog,28,94,74
cow,25,53,54
flower,51,53,78
banana,99,50,95
flower,51,53,78
sweat,46,36,26
socks,4,43,93
cat,34,69,90
dog,52,26,53
lemon,1,34,17
flower,51,53,78
cow,25,53,54
ladyfly,24,37,68
sugar,11,11,6
sugar,11,11,6
doodoo,26,36,38
apple,21,5,96
banana,99,50,95
apple,21,5,96
sheep,90,81,57
sheep,90,81,57
orange,52,82,53
lemon,1,34,17
doodoo,26,36,38
doodoo,26,36,38
sugar,11,11,6
socks,4,43,93
doodoo,26,36,38
lemon,1,34,17
shock,90,84,9
shock,90,84,9
flower,51,53,78
table,81,7,36
apple,21,5,96
grass,42,18,65
cow,25,53,54
table,81,7,36
frog,28,94,74
malefly,54,97,53
socks,4,43,93
dog,52,26,53
orange,52,82,53
cow,25,53,54
banana,99,50,95
ladyfly,24,37,68
cat,34,69,90
doodoo,26,36,38
dog,52,26,53
table,81,7,36
sweat,46,36,26
apple,21,5,96
grass,42,18,65
socks,4,43,93
malefly,54,97,53
grass,42,18,65
dog,52,26,53
table,81,7,36
frog,28,94,74
doodoo,26,36,38
table,81,7,36
doodoo,26,36,38
ladyfly,24,37,68
malefly,54,97,53
chair,55,87,36
sugar,11,11,6
apple,21,5,96
chair,55,87,36
ladyfly,24,37,68
shock,90,84,9
apple,21,5,96
flower,51,53,78
shock,90,84,9
cow,25,53,54
ladyfly,24,37,68
shock,90,84,9
apple,21,5,96
socks,4,43,93
sugar,11,11,6
doodoo,26,36,38
malefly,54,97,53
sheep,90,81,57
socks,4,43,93
apple,21,5,96
apple,21,5,96
doodoo,26,36,38
table,81,7,36
banana,99,50,95
malefly,54,97,53
orange,52,82,53
grass,42,18,65
chair,55,87,36
sugar,11,11,6
sugar,11,11,6
doodoo,26,36,38
flower,51,53,78
sheep,90,81,57
orange,52,82,53
sweat,46,36,26
frog,28,94,74
frog,28,94,74
dog,52,26,53
chair,55,87,36
shock,90,84,9
chair,55,87,36
cow,25,53,54
dog,52,26,53
grass,42,18,65
malefly,54,97,53
socks,4,43,93
malefly,54,97,53
banana,99,50,95
apple,21,5,96
sugar,11,11,6
table,81,7,36
frog,28,94,74
sweat,46,36,26
orange,52,82,53
lemon,1,34,17
sweat,46,36,26
banana,99,50,95
sheep,90,81,57
banana,99,50,95
lemon,1,34,17
table,81,7,36
flower,51,53,78
grass,42,18,65
sweat,46,36,26
sheep,90,81,57
grass,42,18,65
sheep,90,81,57
cow,25,53,54
shock,90,84,9
shock,90,84,9
shock,90,84,9
frog,28,94,74
malefly,54,97,53
sheep,90,81,57
frog,28,94,74
grass,42,18,65
frog,28,94,74
flower,51,53,78
doodoo,26,36,38
orange,52,82,53
banana,99,50,95
sweat,46,36,26
cow,25,53,54
sheep,90,81,57
sheep,90,81,57
sugar,11,11,6
doodoo,26,36,38
sugar,11,11,6
frog,28,94,74
malefly,54,97,53
frog,28,94,74
sheep,90,81,57
dog,52,26,53
socks,4,43,93
chair,55,87,36
table,81,7,36
doodoo,26,36,38
chair,55,87,36
chair,55,87,36
dog,52,26,53
table,81,7,36
cat,34,69,90
doodoo,26,36,38
doodoo,26,36,38
frog,28,94,74
sheep,90,81,57
sheep,90,81,57
socks,4,43,93
lemon,1,34,17
orange,52,82,53
doodoo,26,36,38
sugar,11,11,6
shock,90,84,9
flower,51,53,78
socks,4,43,93
apple,21,5,96
banana,99,50,95
banana,99,50,95
chair,55,87,36
doodoo,26,36,38
frog,28,94,74
apple,21,5,96
banana,99,50,95
sheep,90,81,57
sweat,46,36,26
frog,28,94,74
chair,55,87,36
banana,99,50,95
sweat,46,36,26
frog,28,94,74
lemon,1,34,17
lemon,1,34,17
sweat,46,36,26
cow,25,53,54
frog,28,94,74
ladyfly,24,37,68
doodoo,26,36,38
sweat,46,36,26
lemon,1,34,17
banana,99,50,95
apple,21,5,96
doodoo,26,36,38
ladyfly,24,37,68
table,81,7,36
dog,52,26,53
cow,25,53,54
banana,99,50,95
sweat,46,36,26
sheep,90,81,57
ladyfly,24,37,68
cat,34,69,90
orange,52,82,53
table,81,7,36
banana,99,50,95
banana,99,50,95
banana,99,50,95
malefly,54,97,53
chair,55,87,36
malefly,54,97,53
cat,34,69,90
shock,90,84,9
orange,52,82,53
sheep,90,81,57
sheep,90,81,57
chair,55,87,36
chair,55,87,36
ladyfly,24,37,68
malefly,54,97,53
orange,52,82,53
shock,90,84,9
socks,4,43,93
flower,51,53,78
lemon,1,34,17
flower,51,53,78
flower,51,53,78
lemon,1,34,17
socks,4,43,93
sheep,90,81,57
table,81,7,36
shock,90,84,9
cow,25,53,54
sugar,11,11,6
sheep,90,81,57
flower,51,53,78
cat,34,69,90
banana,99,50,95
sweat,46,36,26
doodoo,26,36,38
frog,28,94,74
flower,51,53,78
malefly,54,97,53
banana,99,50,95
cow,25,53,54
sugar,11,11,6
socks,4,43,93
table,81,7,36
sheep,90,81,57
chair,55,87,36
ladyfly,24,37,68
apple,21,5,96
lemon,1,34,17
sheep,90,81,57
sheep,90,81,57
socks,4,43,93
sheep,90,81,57
shock,90,84,9
grass,42,18,65
socks,4,43,93
cow,25,53,54
frog,28,94,74
lemon,1,34,17
shock,90,84,9
banana,99,50,95
orange,52,82,53
cow,25,53,54
banana,99,50,95
banana,99,50,95
orange,52,82,53
sugar,11,11,6
frog,28,94,74
sweat,46,36,26
orange,52,82,53
cow,25,53,54
chair,55,87,36
lemon,1,34,17
cat,34,69,90
ladyfly,24,37,68
banana,99,50,95
table,81,7,36
malefly,54,97,53
table,81,7,36
frog,28,94,74
sweat,46,36,26
banana,99,50,95
sugar,11,11,6
cat,34,69,90
table,81,7,36
lemon,1,34,17
banana,99,50,95
banana,99,50,95
table,81,7,36
orange,52,82,53
sugar,11,11,6
sheep,90,81,57
chair,55,87,36
sweat,46,36,26
frog,28,94,74
lemon,1,34,17
socks,4,43,93
shock,90,84,9
banana,99,50,95
chair,55,87,36
grass,42,18,65
apple,21,5,96
socks,4,43,93
sugar,11,11,6
ladyfly,24,37,68
socks,4,43,93
shock,90,84,9
doodoo,26,36,38
doodoo,26,36,38
banana,99,50,95
orange,52,82,53
sweat,46,36,26
chair,55,87,36
ladyfly,24,37,68
grass,42,18,65
table,81,7,36
dog,52,26,53
frog,28,94,74
cow,25,53,54
cow,25,53,54
sheep,90,81,57
sheep,90,81,57
cow,25,53,54
cat,34,69,90
dog,52,26,53
table,81,7,36
apple,21,5,96
socks,4,43,93
socks,4,43,93
doodoo,26,36,38
sweat,46,36,26
chair,55,87,36
cow,25,53,54
socks,4,43,93
cat,34,69,90
frog,28,94,74
sheep,90,81,57
malefly,54,97,53
frog,28,94,74
grass,42,18,65
flower,51,53,78
doodoo,26,36,38
lemon,1,34,17
sweat,46,36,26
orange,52,82,53
shock,90,84,9
grass,42,18,65
frog,28,94,74
chair,55,87,36
cat,34,69,90
sugar,11,11,6
cat,34,69,90
chair,55,87,36
socks,4,43,93
shock,90,84,9
doodoo,26,36,38
dog,52,26,53
sugar,11,11,6
grass,42,18,65
orange,52,82,53
cow,25,53,54
shock,90,84,9
malefly,54,97,53
dog,52,26,53
flower,51,53,78
ladyfly,24,37,68
sweat,46,36,26
orange,52,82,53
sugar,11,11,6
flower,51,53,78
table,81,7,36
doodoo,26,36,38
cat,34,69,90
sweat,46,36,26
sheep,90,81,57
malefly,54,97,53
doodoo,26,36,38
malefly,54,97,53
sweat,46,36,26
malefly,54,97,53
banana,99,50,95
doodoo,26,36,38
shock,90,84,9
shock,90,84,9
malefly,54,97,53
sweat,46,36,26
sheep,90,81,57
shock,90,84,9
sweat,46,36,26
grass,42,18,65
socks,4,43,93
malefly,54,97,53
sweat,46,36,26
cat,34,69,90
sheep,90,81,57
table,81,7,36
chair,55,87,36
malefly,54,97,53
banana,99,50,95
sweat,46,36,26
ladyfly,24,37,68
sheep,90,81,57
cow,25,53,54
chair,55,87,36
sugar,11,11,6
chair,55,87,36
chair,55,87,36
flower,51,53,78
table,81,7,36
shock,90,84,9
sheep,90,81,57
table,81,7,36
sheep,90,81,57
sheep,90,81,57
flower,51,53,78
ladyfly,24,37,68
grass,42,18,65
sugar,11,11,6
grass,42,18,65
cat,34,69,90
lemon,1,34,17
table,81,7,36
cat,34,69,90
sugar,11,11,6
cat,34,69,90
ladyfly,24,37,68
shock,90,84,9
shock,90,84,9
dog,52,26,53
cat,34,69,90
shock,90,84,9
dog,52,26,53
banana,99,50,95
orange,52,82,53
lemon,1,34,17
lemon,1,34,17
sheep,90,81,57
shock,90,84,9
flower,51,53,78
banana,99,50,95
table,81,7,36
sugar,11,11,6
sheep,90,81,57
grass,42,18,65
frog,28,94,74
dog,52,26,53
dog,52,26,53
lemon,1,34,17
apple,21,5,96
sugar,11,11,6
sugar,11,11,6
apple,21,5,96
malefly,54,97,53
socks,4,43,93
shock,90,84,9
flower,51,53,78
doodoo,26,36,38
frog,28,94,74
cat,34,69,90
shock,90,84,9
grass,42,18,65
dog,52,26,53
table,81,7,36
cat,34,69,90
lemon,1,34,17
apple,21,5,96
flower,51,53,78
frog,28,94,74
frog,28,94,74
apple,21,5,96
chair,55,87,36
table,81,7,36
table,81,7,36
malefly,54,97,53
table,81,7,36
cat,34,69,90
sugar,11,11,6
sheep,90,81,57
frog,28,94,74
socks,4,43,93
doodoo,26,36,38
chair,55,87,36
banana,99,50,95
sheep,90,81,57
lemon,1,34,17
orange,52,82,53
malefly,54,97,53
ladyfly,24,37,68
cow,25,53,54
frog,28,94,74
sweat,46,36,26
orange,52,82,53
frog,28,94,74
doodoo,26,36,38
apple,21,5,96
sheep,90,81,57
cow,25,53,54
sheep,90,81,57
sugar,11,11,6
sheep,90,81,57
sugar,11,11,6
sweat,46,36,26
table,81,7,36
shock,90,84,9
shock,90,84,9
sheep,90,81,57
grass,42,18,65
sheep,90,81,57
cat,34,69,90
malefly,54,97,53
dog,52,26,53
sheep,90,81,57
orange,52,82,53
grass,42,18,65
cow,25,53,54
sheep,90,81,57
shock,90,84,9
banana,99,50,95
sugar,11,11,6
sugar,11,11,6
banana,99,50,95
sheep,90,81,57
apple,21,5,96
doodoo,26,36,38
malefly,54,97,53
banana,99,50,95
orange,52,82,53
shock,90,84,9
ladyfly,24,37,68
sweat,46,36,26
socks,4,43,93
dog,52,26,53
flower,51,53,78
sugar,11,11,6
table,81,7,36
sweat,46,36,26
sweat,46,36,26
socks,4,43,93
cow,25,53,54
apple,21,5,96
cat,34,69,90
dog,52,26,53
sheep,90,81,57
sheep,90,81,57
sugar,11,11,6
lemon,1,34,17
apple,21,5,96
chair,55,87,36
sugar,11,11,6
frog,28,94,74
malefly,54,97,53
sugar,11,11,6
orange,52,82,53
shock,90,84,9
chair,55,87,36
cow,25,53,54
shock,90,84,9
frog,28,94,74
sweat,46,36,26
orange,52,82,53
socks,4,43,93
frog,28,94,74
banana,99,50,95
sugar,11,11,6
shock,90,84,9
banana,99,50,95
sugar,11,11,6
orange,52,82,53
cat,34,69,90
socks,4,43,93
cat,34,69,90
shock,90,84,9
sugar,11,11,6
sweat,46,36,26
dog,52,26,53
cat,34,69,90
flower,51,53,78
lemon,1,34,17
frog,28,94,74
ladyfly,24,37,68
shock,90,84,9
sugar,11,11,6
socks,4,43,93
shock,90,84,9
banana,99,50,95
sweat,46,36,26
frog,28,94,74
sugar,11,11,6
malefly,54,97,53
grass,42,18,65
chair,55,87,36
banana,99,50,95
table,81,7,36
banana,99,50,95
apple,21,5,96
frog,28,94,74
flower,51,53,78
flower,51,53,78
lemon,1,34,17
sugar,11,11,6
ladyfly,24,37,68
doodoo,26,36,38
sheep,90,81,57
sheep,90,81,57
dog,52,26,53
cat,34,69,90
banana,99,50,95
lemon,1,34,17
shock,90,84,9
chair,55,87,36
ladyfly,24,37,68
dog,52,26,53
dog,52,26,53
table,81,7,36
table,81,7,36
flower,51,53,78
grass,42,18,65
grass,42,18,65
flower,51,53,78
doodoo,26,36,38
cat,34,69,90
lemon,1,34,17
grass,42,18,65
frog,28,94,74
grass,42,18,65
banana,99,50,95
orange,52,82,53
orange,52,82,53
ladyfly,24,37,68
shock,90,84,9
flower,51,53,78
socks,4,43,93
sweat,46,36,26
cat,34,69,90
flower,51,53,78
cat,34,69,90
table,81,7,36
orange,52,82,53
cat,34,69,90
banana,99,50,95
sweat,46,36,26
lemon,1,34,17
table,81,7,36
cow,25,53,54
table,81,7,36
apple,21,5,96
orange,52,82,53
sheep,90,81,57
sweat,46,36,26
frog,28,94,74
ladyfly,24,37,68
sheep,90,81,57
malefly,54,97,53
banana,99,50,95
grass,42,18,65
sheep,90,81,57
apple,21,5,96
dog,52,26,53
sheep,90,81,57
sheep,90,81,57
frog,28,94,74
banana,99,50,95
shock,90,84,9
banana,99,50,95
frog,28,94,74
apple,21,5,96
flower,51,53,78
table,81,7,36
table,81,7,36
sweat,46,36,26
dog,52,26,53
sweat,46,36,26
grass,42,18,65
sheep,90,81,57
apple,21,5,96
doodoo,26,36,38
sheep,90,81,57
sweat,46,36,26
sweat,46,36,26
sheep,90,81,57
malefly,54,97,53
chair,55,87,36
shock,90,84,9
chair,55,87,36
sheep,90,81,57
apple,21,5,96
malefly,54,97,53
sugar,11,11,6
lemon,1,34,17
shock,90,84,9
sugar,11,11,6
table,81,7,36
orange,52,82,53
orange,52,82,53
malefly,54,97,53
shock,90,84,9
table,81,7,36
chair,55,87,36
ladyfly,24,37,68
sugar,11,11,6
lemon,1,34,17
grass,42,18,65
banana,99,50,95
orange,52,82,53
socks,4,43,93
chair,55,87,36
table,81,7,36
shock,90,84,9
cat,34,69,90
grass,42,18,65
sheep,90,81,57
banana,99,50,95
dog,52,26,53
sugar,11,11,6
cow,25,53,54
table,81,7,36
apple,21,5,96
sugar,11,11,6
sugar,11,11,6
grass,42,18,65
frog,28,94,74
lemon,1,34,17
malefly,54,97,53
frog,28,94,74
sugar,11,11,6
sheep,90,81,57
doodoo,26,36,38
table,81,7,36
shock,90,84,9
malefly,54,97,53
dog,52,26,53
cow,25,53,54
table,81,7,36
lemon,1,34,17
grass,42,18,65
banana,99,50,95
banana,99,50,95
banana,99,50,95
sheep,90,81,57
lemon,1,34,17
cow,25,53,54
cow,25,53,54
socks,4,43,93
lemon,1,34,17
sugar,11,11,6
sugar,11,11,6
banana,99,50,95
sheep,90,81,57
dog,52,26,53
cat,34,69,90
ladyfly,24,37,68
shock,90,84,9
cat,34,69,90
orange,52,82,53
flower,51,53,78
chair,55,87,36
socks,4,43,93
apple,21,5,96
orange,52,82,53
sheep,90,81,57
lemon,1,34,17
banana,99,50,95
grass,42,18,65
lemon,1,34,17
dog,52,26,53
cat,34,69,90
orange,52,82,53
table,81,7,36
dog,52,26,53
sweat,46,36,26
shock,90,84,9
banana,99,50,95
flower,51,53,78
lemon,1,34,17
table,81,7,36
flower,51,53,78
chair,55,87,36
malefly,54,97,53
orange,52,82,53
table,81,7,36
lemon,1,34,17
table,81,7,36
banana,99,50,95
sheep,90,81,57
doodoo,26,36,38
doodoo,26,36,38
grass,42,18,65
apple,21,5,96
flower,51,53,78
ladyfly,24,37,68
ladyfly,24,37,68
ladyfly,24,37,68
cat,34,69,90
sugar,11,11,6
sugar,11,11,6
flower,51,53,78
shock,90,84,9
lemon,1,34,17
dog,52,26,53
malefly,54,97,53
table,81,7,36
malefly,54,97,53
table,81,7,36
sweat,46,36,26
shock,90,84,9
apple,21,5,96
apple,21,5,96
ladyfly,24,37,68
banana,99,50,95
apple,21,5,96
dog,52,26,53
sheep,90,81,57
cat,34,69,90
sugar,11,11,6
apple,21,5,96
orange,52,82,53
shock,90,84,9
socks,4,43,93
cat,34,69,90
sheep,90,81,57
cat,34,69,90
apple,21,5,96
cow,25,53,54
sheep,90,81,57
sugar,11,11,6
grass,42,18,65
lemon,1,34,17
ladyfly,24,37,68
ladyfly,24,37,68
dog,52,26,53
cat,34,69,90
ladyfly,24,37,68
socks,4,43,93
chair,55,87,36
lemon,1,34,17
flower,51,53,78
frog,28,94,74
frog,28,94,74
sweat,46,36,26
shock,90,84,9
banana,99,50,95
malefly,54,97,53
frog,28,94,74
malefly,54,97,53
chair,55,87,36
grass,42,18,65
flower,51,53,78
doodoo,26,36,38
doodoo,26,36,38
malefly,54,97,53
lemon,1,34,17
doodoo,26,36,38
grass,42,18,65
lemon,1,34,17
sweat,46,36,26
orange,52,82,53
sweat,46,36,26
doodoo,26,36,38
shock,90,84,9
banana,99,50,95
frog,28,94,74
grass,42,18,65
orange,52,82,53
grass,42,18,65
grass,42,18,65
cat,34,69,90
banana,99,50,95
malefly,54,97,53
grass,42,18,65
cat,34,69,90
ladyfly,24,37,68
socks,4,43,93
orange,52,82,53
malefly,54,97,53
lemon,1,34,17
shock,90,84,9
sugar,11,11,6
doodoo,26,36,38
doodoo,26,36,38
cat,34,69,90
sheep,90,81,57
shock,90,84,9
ladyfly,24,37,68
cow,25,53,54
chair,55,87,36
table,81,7,36
ladyfly,24,37,68
orange,52,82,53
dog,52,26,53
ladyfly,24,37,68
cat,34,69,90
apple,21,5,96
apple,21,5,96
cat,34,69,90
malefly,54,97,53
sheep,90,81,57
sugar,11,11,6
doodoo,26,36,38
socks,4,43,93
grass,42,18,65
shock,90,84,9
cat,34,69,90
shock,90,84,9
flower,51,53,78
cat,34,69,90
socks,4,43,93
sweat,46,36,26
dog,52,26,53
sugar,11,11,6
dog,52,26,53
socks,4,43,93
malefly,54,97,53
lemon,1,34,17
frog,28,94,74
doodoo,26,36,38
ladyfly,24,37,68
malefly,54,97,53
cat,34,69,90
doodoo,26,36,38
socks,4,43,93
lemon,1,34,17
grass,42,18,65
dog,52,26,53
malefly,54,97,53
malefly,54,97,53
socks,4,43,93
grass,42,18,65
chair,55,87,36
socks,4,43,93
cow,25,53,54
sugar,11,11,6
cow,25,53,54
shock,90,84,9
grass,42,18,65
cat,34,69,90
banana,99,50,95
socks,4,43,93
cat,34,69,90
cow,25,53,54
lemon,1,34,17
table,81,7,36
cat,34,69,90
sheep,90,81,57
apple,21,5,96
cat,34,69,90
banana,99,50,95
sugar,11,11,6
cat,34,69,90
apple,21,5,96
dog,52,26,53
shock,90,84,9
chair,55,87,36
ladyfly,24,37,68
cat,34,69,90
sweat,46,36,26
sweat,46,36,26
cow,25,53,54
frog,28,94,74
dog,52,26,53
cow,25,53,54
ladyfly,24,37,68
apple,21,5,96
ladyfly,24,37,68
frog,28,94,74
grass,42,18,65
sugar,11,11,6
grass,42,18,65
ladyfly,24,37,68
sugar,11,11,6
orange,52,82,53
grass,42,18,65
banana,99,50,95
ladyfly,24,37,68
banana,99,50,95
dog,52,26,53
malefly,54,97,53
banana,99,50,95
sugar,11,11,6
banana,99,50,95
apple,21,5,96
cat,34,69,90
sweat,46,36,26
dog,52,26,53
ladyfly,24,37,68
sugar,11,11,6
malefly,54,97,53
doodoo,26,36,38
table,81,7,36
dog,52,26,53
cow,25,53,54
ladyfly,24,37,68
malefly,54,97,53
frog,28,94,74
malefly,54,97,53
table,81,7,36
apple,21,5,96
sweat,46,36,26
sugar,11,11,6
banana,99,50,95
cow,25,53,54
flower,51,53,78
lemon,1,34,17
dog,52,26,53
shock,90,84,9
chair,55,87,36
ladyfly,24,37,68
sugar,11,11,6
grass,42,18,65
frog,28,94,74
sheep,90,81,57
banana,99,50,95
dog,52,26,53
shock,90,84,9
socks,4,43,93
shock,90,84,9
chair,55,87,36
lemon,1,34,17
dog,52,26,53
frog,28,94,74
shock,90,84,9
dog,52,26,53
malefly,54,97,53
apple,21,5,96
